hostcode,hostdesc
HOPQPS ,"FLOWER, BULB, NURSERY & HORT CROP QUE &"
MAPAA  ,"POULTRY PEN, ROOST OR NEST LITTER"
MAPAC  ,HOUSING FOR FOOD-PRODUCING ANIMAL
MAWAB  ,ABOVE GROUND BAIT
MGAD1  ,DUBOISIA - AFTER TRANSPLANTING OF SEEDLI
MGAFS  ,FOREST - REFER TO LABEL
MGAP5  ,PASTURE SITE TREE RELEASE POST PLANTING
MGAPI  ,PINUS PLANTATION - PINUS RADIATA
MGAPN  ,PINUS PLANTATION - PRE PLANTING(10 MTHS)
MGAR   ,GARAGE
MGHP   ,POT
MGMA2  ,MANURE - POULTRY
MGMAQPS,MANURE QPS & APPROVED CUE TREATMENT
MGRCA  ,ROW CROP - POST-EMERGENCE
MGRCB  ,ROW CROP - PRE-PLANTING/PRE-EMERGENCE
MGSPA  ,SPOT SPRAYING (SEE LABEL FOR HOST)
MGTP   ,PRIOR TO SUMMER CROP
MIBRE  ,BREWERY
MIPAA  ,MUSHROOM HOUSE
MIPAJ  ,GENERAL DISINFECTION-PIGPEN
MIPAX  ,ANIMAL HOUSING
MIPBL  ,"LOG, POST AND POLE"
MIPBZ  ,BOILER HOUSE
MIPCI  ,COMMERCIAL/INDUSTRIAL PREMISES
MIPDK  ,KITCHEN PEST CONTROL
MIPDP  ,PEST CONTROL - PERSONAL USE
MIPF1  ,POULTRY FEED
MIPFN  ,NYLON FABRIC - REPELLANT TREATMENT
MIPFV  ,FARM VAT
MIPGFE ,FOOD PROCESSING EQUIPMENT
MIPIL  ,COMMERCIAL/INDUSTRIAL LAND
MIPIT  ,SURFACE SPRAY APPLICATION OR DIPPING 
MIPPS1 ,"BROILER POULTRY HOUSE,LITTER,WALL & ROOF"
MIPRE  ,RECREATIONAL LAND
MITS   ,TIDAL WATER SALTMARSH
MIW    ,WALL VOIDS
MNABC  ,DAM
MNAER  ,AERODROME - WEED CONTROL
MNAR   ,RAILWAY LINE WEED CONTROL
MNAWL  ,AQUATIC AREAS WEED CONTROL - SEE LABEL
MNFN   ,FALLOW & NON CROP
MNFW   ,"FALLOW OR STUBBLE,PRIOR TO WINTER CEREAL"
MNFWA  ,FALLOW WEED CONTROL - PRIOR TO SOWING
MNFWCP ,"FALLOW,STUBBLE(PRIOR TO CHICKPEA)WEED CO"
MNFWD  ,"FALLOW,STUBBLE(PRIOR TO SORGHUM)WEED CON"
MNGL2  ,"DRY MARGINS OF DAMS, LAKES & STREAMS"
MNH    ,HEADLAND WEED CONTROL
MNMB   ,MACHINERY YARD WEED CONTROL
MNPB   ,WEED CONTROL - PIPELINES
MNSTB  ,STUBBLE WEED CONTROL
MONAA  ,BIRCH
MONAG  ,CALLISTEMON
MONAI  ,DAMPIERA
MONAT  ,LEUCODENDRON
MONAZ  ,AZALEA INDICA
MONBB  ,GLADIOLUS
MONBC  ,CYCLAMEN
MONBGT ,TASMANIAN BLUE GUM
MONBX  ,SPARAXIS (POST PLANTING)
MONC   ,CALLISTEMON CITRINUS
MONC0  ,"CAMELLIA OR TEA, OVER 3 YEARS OLD"
MONC9  ,LOBELIA
MONCG  ,ROSAMARINUS FOLIA
MONCI  ,MEXICAN ORANGE
MONCS  ,SOFTWOOD CUTTING
MOND3  ,CAPE PRIMROSE
MONDH  ,FEIJOA
MONDS  ,MYRTUS
MONDW  ,OSMANTHUS
MONF23 ,PYRETHRUM
MONF4  ,FLOWER SEEDLING
MONFFP ,FLOWERING PLANTS
MONFZ  ,SNAPDRAGON - PRIOR TO PLANTING
MONGJ  ,SWEET WILLIAM
MONGN  ,GREVILLEA ARENARIA
MONGR  ,SILKY OAK
MONGV  ,ANNUAL CHALKWORT
MONGW  ,WALLFLOWER
MONI2  ,INDOOR PLANTS - CONTAINER GROWN
MONIA  ,ORCHID
MONIEM ,MAIDENHAIR FERN
MONIEP ,POLYPODIUM FERN
MONIL  ,MONSTERA OR FRUIT SALAD PLANT
MONIO  ,LEEA
MONIT  ,NARCISSUS - PRE-EMERGENT
MONJD  ,DIEFFENBACHIA OR DUMB CANE
MONJJ  ,CARNATION - PRIOR TO PLANTING
MONKJ  ,SOLANUM CAPSICASTRUM
MONKL  ,TRISTANIA SPP.
MONKM  ,VRIESEA SPLENDENS
MONKN  ,CHRYSANTHEMUM - PRIOR TO PLANTING
MONL2  ,PYRETHRUM - ESTABLISHED > 1 YEAR
MONMEC ,CORN MARIGOLD
MONNE  ,ORNAMENTAL (NON EDIBLE)
MONO   ,ORCHID TREE
MONOTT ,TEA TREE - PRE-EMERGENCE
MONPD  ,ORNAMENTAL PLANT - PRE-PLANT SOIL TREAT.
MONPE  ,POINSETTIA
MONPF  ,INDOOR FOLIAGE PLANT
MONS5  ,GREVILLEA
MONS8  ,BOUGAINVILLIA
MONS9  ,BORONIA
MONSI  ,DEUTZIA
FRSDS  ,PEACH TREE - POST HARVEST SPRAY
FRSEP  ,PLUM - POST-HARVEST DIP
FRSGD  ,DORMANT PRUNE
FRSL   ,LOQUAT
FRT12  ,POMEGRANATE
FRT6P  ,LONGAN PLANTATION
FRTAB  ,TROPICAL FRUIT PLANTATION
FRTAO  ,AVOCADO - POST-HARVEST
FRTBD  ,BANANA - POST-HARVEST DIP
FRTCD  ,CUSTARD APPLE - POST-HARVEST DIP
FRTD1  ,PINEAPPLE PLANTATION
FRTDM  ,PINEAPPLE - PLANTING MATERIAL
FRTEO  ,PAWPAW - POST-HARVEST
FRTEP  ,PAWPAW PLANTATION
FRTH1  ,GUAVA PLANTATION
FRTHP  ,GUAVA - POST-HARVEST
FRTIP  ,TROPICAL FRUIT (INEDIBLE PEEL)
FRTLE  ,LYCHEE - ESTABLISHED
FRTN   ,BREADFRUIT
FRTXP  ,FIG - POST-HARVEST
FRV1O  ,VINES - OVER 1 YEAR OLD
FRV6   ,VINEYARD
FRVAE  ,GRAPE - RED EMPEROR
FRVF   ,GRAPEVINE OVER 3 YEARS OLD
FRVPA  ,GRAPE - PALOMINO
FRVPN  ,GRAPEVINE (PINOT NOIR)
FRVSH  ,GRAPE - SHIRAZ
FRVST  ,GRAPE - SULTANA - POST HARVEST
FRVW   ,GRAPE - WINE
FRVX   ,VINE
FRXAP  ,PASSIONFRUIT - POST-HARVEST
FRXB   ,FIG
FRXCP  ,OLIVE TREE - PRIOR TO PLANTING
FRXEE  ,COFFEE - UNDER ESTABLISHED BUSHES
FTFD   ,DESSERT FIG
GCC    ,CROP - COMMERCIAL
GCCT25 ,COTTON - STAGE II
GCCT8  ,COTTON FALLOW MAINTENANCE
GCCTA  ,COTTON ROUNDUP READY TECHNOLOGY IN FALLO
GCCTD  ,DRYLAND - COTTON
GCCTP  ,COTTON - POST SOWING TREATMENT
GLF    ,FORESTRY
GPFRL  ,FODDER RAPE - REFER TO LABEL
GSPL   ,SEED & POD CROPS - SEE LABEL
GSSR   ,SERRADELLA SEED CROP
GTT    ,GUTTERING
HEMP   ,PEPPERMINT
HEZOS  ,GINGER SEED PIECE
HHC    ,CHIVES
MAMES  ,DAIRY EQUIPMENT STAINLESS STEEL
MAPAM  ,POULTRY PEN MANURE HEAP
MATI   ,NEST IN POLES AND TREES
MDD    ,DIRECT DRILL
MFLO   ,FLOOD PLAIN
MGAA   ,BEEHIVE
MGAF2  ,FOREST - PRIOR TO PLANTING
MGAFK  ,KURRAJONG TREE
MGAFP  ,FOREST PLANTATIONS
MGAPE  ,EUCALYPTUS PLANTATION
MGAPE1 ,EUCALYPTUS PLANTATION 12 MONTHS OR OLDER
MGAPI2 ,PINUS RADIATA PLANTATION - POST PLANTING
MGASG  ,SHINING GUM
MGC1   ,PRIOR TO ESTABLISHING CROPS
MGHD1  ,EGG (EX.EGGS FOR HUMAN CONSUMPTION)
MGHH   ,HORTICULTURAL CROP
MGHT   ,"POTTING MIX, COMPOST, MANURE"
MGMA   ,MANURE
MGMADQP,DECOMPOSED MANURE QPS & APPROVED CUE
MGVNF  ,NON- FRUIT REFUGE VEGETATION 
MIIMP  ,ICE MAKING PLANT (INCLUDING MACHINERY)
MIPAF  ,PEST CONTROL - AROUND ANIMAL FEED BINS
MIPAGD ,"GENERAL DISINFECTION (WALLS, STALLS,ETC)"
MIPAHL ,"HORSE,CATTLE STALLS,LIVESTOCK HOUSING"
MIPAPB ,PROPAGATING BENCH
MIPBS  ,BUILDING OR STRUCTURE-WELL SEALED
MIPBW  ,PEST CONTROL - BLANKETS (WOOL/WOOL BLEND
MIPDI  ,PEST CONTROL - DRIVE-IN CINEMA
MIPE   ,HOSPITAL PEST CONTROL
MIPF   ,FIREBREAK WEED CONTROL
MIPIC  ,"PEST CONTROL - CARPET, WOOLLEN GOODS"
MIPIQ  ,CLOSED WATER SUPPLY
MIPQ   ,PEST CONTROL IN QUARANTINE
MIPSK  ,SUGARCANE KNIFE
MIPST  ,STABLE
MIPSTA ,STALL (LIVESTOCK)
MIPTE  ,TRANSPORT EQUIPMENT
MIPW   ,WINERY PEST CONTROL
MITR   ,TROUGH
MIWPI  ,POLLUTED WATER IMPOUNDMENT
MMLV   ,LIGHT VEGETATION
MNA    ,NON-SELECTIVE WEED CONTROL
MNAB   ,"WEED CONT. CHANNEL, DRAIN OR IRRIGATION"
MNAE   ,SEWER MAIN AND DRAIN LINE WEED CONTROL
MNAWD  ,WEED CONTROL - DAMS NOT FOR DRINKING
MNCEM  ,CEMETERY TOTAL WEED CONTROL
MNFS   ,"FAL'W SPRAY+SEEDBED S'VAGE(WHEAT,BARLEY)"
MNFT   ,AROUND ESTABLISHED TREES
MNFW3  ,FALLOW - PRIOR TO PLANTING SORGHUM CROP
MNFWP  ,FALLOW OR STUBBLE - PRIOR TO PEA
MNFWQ  ,"FALLOW,STUBBLE - PRIOR TO PEANUT"
MNMY   ,YARD
MNSBS  ,SEED BED SALVAGE
MNWD   ,WEED CONTROL - PUBLIC BUILDING
MONAF  ,ARDESIA
MONAH  ,RED ASH
MONAJ  ,HIBBERTIA
MONAL  ,ALNUS ACUMINATA
MONAM  ,OMOLANTHUS
MONAQ  ,LAGERSTROEMIA
MONAR  ,STRAWBERRY TREE
MONB0  ,BULB - PRE-PLANTING SOIL TREATMENT
MONBT  ,CAPE TULIP
MONC3  ,CINERARIA
MONC4  ,CLERODENDRUM
MONCR  ,CHRYSANTHEMUM RIVALRY
MONCX  ,CASSIA SPP.
MONDK  ,GINGKO
MONE1  ,EUCALYPTUS SPP.
MONED  ,PITTOSPORUM
MONEE  ,ENGLISH ELM
MONEJ  ,POORINDA GREVILLEA
MONEP  ,PEPPERMINT GUM
MONER  ,ERICA
MONF21 ,ASTER
MONF5  ,PETUNIA
MONFD  ,CHRYSANTHEMUM OR TANACETUM
MONFN  ,WILD ZINNIA
MONFR1 ,BEDDING PLANTS - CONTAINER GROWN
MONGI  ,PHLOX OR SPREADING NIGHT
MONGX  ,HELIOTROPE
MONH1  ,HEDGE
MONHL  ,HAKEA LAURINA
MONIB  ,GLOXINIA
MONIQ  ,CAPE TULIP - PRE-EMERGENT
MONIR1 ,IRIS
MONJB  ,CHLOROPHYTUM
MONJG  ,BEGONIA - PRIOR TO PLANTING
MONJR  ,POLYSCIAS
MONJZ  ,FATSHEDERA LIZEI
MONKD  ,MATTHIOLA
MONKF  ,OXALIS HEDYSAROIDES RUBRA
MONKO  ,POINSETTIA - PRIOR TO PLANTING
MONLL  ,LILAC
MONLP  ,LEOPARD TREE
MONLT  ,TULIP - CROP
FRSDO1 ,PEACH - ORCHARD
FRSE   ,PLUM
FRSEE  ,PLUM - SEE LABEL FOR EXCEPTIONS
FRSGPP ,STONE FRUIT - PRIOR TO PLANTING
FRSLP  ,LOQUAT - POST-HARVEST
FRT12D ,POMEGRANATE - POST-HARVEST DIP
FRT13  ,PRICKLY PEAR (FRUIT)
FRT18  ,YELLOW MOMBIN
FRT19  ,SOURSOP
FRT21  ,TAMARILLO
FRT6   ,LONGAN
FRT7   ,MAMEY SAPOTE
FRTBBS ,BANANA - BUNCH SPRAY
FRTBP  ,BANANA - PRE-EMERGENT
FRTD2  ,PINEAPPLE - UREA
FRTE1  ,PAWPAW (PLEASE REFER TO LABEL)
FRTED  ,PAWPAW - POST-HARVEST DIP
FRTF   ,BABACO
FRTG2  ,MANGO (PLEASE REFER TO LABEL)
FRTH   ,GUAVA
FRTLPP ,LYCHEE - PRIOR TO PLANTING
FRTM3  ,"MONSTERA FRUIT, OVER 3 YEARS OLD"
FRTP   ,CAIMITO
FRTPO  ,ABIUS
FRTPP  ,PLANTATION CROP
FRTS   ,SUB-TROPICAL FRUIT
FRTW2  ,KIWI FRUIT POST HARVEST DIP (INEDIBLE PEEL VARIETIES)
FRTWP  ,KIWI FRUIT - POST-HARVEST
FRTZ1  ,FEIJOA PLANTATION
FRV5   ,GRAPE - SEE LABEL
FRVAH  ,VINEYARD - ESTABLISHED
FRVAP  ,GRAPE - RED PRINCE
FRVG   ,GRAPEVINE
FRVME  ,GRAPE - EARLY MADELEINE
FRXD   ,PASSIONFRUIT DIP
FRXEN  ,COFFEE - NON-BEARING
FRXET  ,COFFEE - AFTER TRANSPLANTING
FT     ,TREEFRUIT
FTKF   ,KIWI FRUIT - EXCLUDING GOLD KIWIFRUIT
GCCT18 ,COTTON - POST-EMERGENCE LAYBY SPRAYING
GCCT24 ,COTTON - PRE HARVEST
GCCTR  ,COTTON - PRE-EMERGENCE BAND TREATMENT
GLNT   ,NATIVE TREES/SHRUBS (DIRECT SEEDING)
GLPQPS ,LIVING PLANT MATERIAL QPS & CUE
GSVL   ,VETCH - REFER TO LABEL
HEM    ,MINT - CROP - COMMERCIAL
HEMS1  ,SPEARMINT - OIL PRODUCTION ONLY
HHCSH  ,CHIA
MAPAB  ,"BIRD CAGE, CABINET, LOFT OR AVIARY"
MARGT  ,ANNUAL RYEGRASS - TOXIN MINIMIZATION
MAWT1  ,TERMITE ACTIVITY - NEST LOCATION
MGAC   ,TOOL
MGAD3  ,DUBOISIA - AFTER HARVEST OF MATURE PLANT
MGAF   ,FOREST
MGAFA  ,FARM TREE PLANTATION
MGAP2  ,PINUS RADIATA SEEDLING
MGAP3  ,PINE PLANTATION - PINUS SPP
MGAPCO2,CORYMBIA- POST PLANTING
MGAPT  ,PINE PLANTATION - POST PLANTING
MGASPR ,PASTURE TOPPING TO REDUCE SEED SET
MGAU   ,UMBRELLA TREE
MGCRO  ,CROP ESTABLISHMENT WEED CONTROL
MGHRQPS,STRAW OR HAY MULCH QPS & APPROVED CUE
MGNU1  ,NURSERY - PRIOR TO ESTABLISHMENT
MGRC   ,ROW CROP
MGSE   ,SEEDLING
MIFS   ,WATER FILTRATION SYSTEM
MIIW   ,IRRIGATION WATER
MIPADS ,DIP - STOCK
MIPAN  ,ANT TRACK OR NEST PEST CONTROL
MIPASB ,"CAGELAYER SHEDS,BATTERY BROODERS,PIGPENS"
MIPBH  ,WEED CONT. AROUND AGRICULTURAL BUILDINGS
MIPBI  ,ANIMAL FEEDER / WATERER
MIPCM  ,PEST CONTROL - COMPOST OR MANURE HEAPS
MIPDC  ,PATIO
MIPFA  ,"BASE OF BUILDING WALL, FENCE OR ROCKWORK"
MIPFC  ,FABRIC (COTTON) - REPELLANT TREATMENT
MIPFLC ,FLOOR COVERINGS
MIPIS  ,PEST COTNROL - INDUSTRIAL SURFACE SPRAY
MIPOF  ,OFFICE
MIPPC  ,CATTERY
MIPRO  ,RODENT BURROW
MIPWO  ,CONIFEROUS PLYWOOD PEST CONTROL
MIPWS  ,POTABLE WATER - SEE LABEL FOR EXCLUSIONS
MISS   ,SEWAGE SETTLING POND
MIWAR  ,WARDROBE
MNASM  ,SEASONAL MAINTENANCE
MNBS   ,AROUND BBQS AND SWIMMING POOLS
MNF    ,FOREST WEED CONTROL
MNFA   ,FENCELINE IN NON-CROP AREA
MNFWT  ,FALLOW/STUBBLE WEED CO-PRE SOW TRITICALE
MNFWW  ,"FALLOW,STUBBLE(PRIOR TO WHEAT)WEED CONTR"
MNGC   ,CONSERVATION TILLAGE WEED CONTROL
MNOI   ,WEED CONTROL - OIL INSTALLATION
MNPTD  ,WEED CONTROL PRIOR TO FULL DISTURBANCE
MNROB  ,ROADSIDE IN NON-CROP AREA
MNUP   ,UTILITY POLES
MONAE  ,GLOSSY ABELIA
MONAS  ,GOLDEN ASH
MONB5  ,BROMELIAD
MONB9  ,APHELANDRA
MONBPE ,IRIS - PRE-EMERGENT
MONC2  ,SUCCULENT CUTTING
MONC7  ,IMPATIENS
MONC8  ,KALANCHOE
MONCF  ,LEUCOSPERMUM NITIDUM
MONCM  ,AJUGA
MONCP  ,SWANES GOLDEN PENCIL PINE
MOND5  ,CORM - PRE-PLANTING SOIL TREATMENT
MONDA  ,CHAMAECYPARIS
MONEU  ,FINE LEAF PEPPERMINT
MONF0  ,FLOWER - PRIOR TO SOWING
MONFA  ,ORNAMENTAL PLANT OR ANNUAL
MONFC  ,ORNAMENTAL PERENNIAL
MONFG  ,GERBERA
MONFLA ,LATHYRUS
MONFP  ,CALENDULA OR MARIGOLD
MONFWD ,WILDFLOWERS
MONGB  ,GAILLARDIA
MONHO  ,HOLLY
MONHZ  ,HAZEL
MONIP  ,BULBOUS IRIS - PRE-EMERGENT
MONKA  ,FATSIA JAPONICA
MONKB  ,FITTONIA VERSCHAFFELTII
MONNP  ,NATIVE PLANT
MONOA  ,ORNAMENTAL FLOWERING ANNUAL
MONOF  ,ORNAMENTAL FLOWERING PERENIALS
MONOF1 ,ORNAMENTAL FARM
MONOP  ,ESTABLISHED PLANTS
MONOT4 ,TEA TREE REGROWTH
MONRG  ,RED RIVER GUM
MONS4  ,COMMON LANTANA
MONSG  ,CYPRESS
MONSH  ,HIBISCUS
MONSS  ,SHRUB
MONSY  ,BUDDLEIA
MONTY  ,AURAUCARIA
MONU6  ,RHODODENDRON
MONU7  ,CAMELLIA JAPONICA
MONUM  ,RAVENALA
MONWI  ,WILLOW
MONZQ  ,ORNAMENTAL ASPARAGUS
FRSDH  ,PEACH - POST-HARVEST DIP
FRSDL  ,FLOWERING PEACH
FRSDO  ,PEACH - POST-HARVEST
FRSF   ,STONE FRUIT OVER 3 YEARS OLD
FRSGE  ,STONE FRUIT - ESTABLISHED
FRSLD  ,LOQUAT - POST-HARVEST DIP
FRSO   ,STONE FRUIT ORCHARD
FRSP   ,STONE FRUIT - POST-HARVEST DIP
FRT11  ,PLANTAIN (MUSA SPP.)
FRT16  ,SANTOL
FRT22  ,WAX JAMBUS
FRTAD  ,AVOCADOS DIP
FRTAP  ,AVOCADO PLANTATION
FRTCO  ,COCONUT
FRTCOR ,CUSTARD APPLE ORCHARD
FRTCU  ,CUSTARD APPLE - (DIP)
FRTDR  ,PINEAPPLE - PRIOR TO SOWING
FRTEEE ,PAWPAW - ESTABLISHED
FRTGE  ,MANGO - ESTABLISHED
FRTHP1 ,GUAVA-POSTHARVEST (SEE LABEL EXCEPTIONS)
FRTLA  ,"LYCHEE, OVER 3 YEARS OLD"
FRTPD1 ,PERSIMMONS - POSTHARVEST DIP (SEE LABEL)
FRTT   ,CARAMBOLA
FRTW1  ,KIWI PLANTATION
FRTWP1 ,KIWIFRUIT-POSTHARVEST (SEE LABEL EXCEPT)
FRTZ   ,FEIJOA
FRVAA  ,GRAPEVINE (DORMANT) - OVER 3 YEARS OLD
FRVAC  ,GRAPE - CARDINAL
FRVDB  ,VINEYARD - OVER 3 YEARS OLD
FRVED  ,GRAPE -EXCEPT FOR DRIED FRUIT PRODUCTION
FRVGD  ,DORMANT GRAPEVINE
FRVI   ,GRAPE - BARLINKA
FRXA   ,PASSIONFRUIT
FRXC1  ,OLIVE PLANTATION
GC1    ,CROP - OUTDOORS
GCCT14 ,COTTON - GROUND APPLICATION ONLY
GCCT2  ,COTTON SEED
GCCTDE ,COTTON DEFOLIATION
GCH    ,CROP - HERB
GCHS   ,HAY & SILAGE - PRE HARVEST/CUTTING
GEHAY  ,HAY
GPSC   ,SUB CLOVER PASTURE (SEEDLINGS-SEE LABEL)
GSEB   ,SEED BED
JPIA   ,PYRETHROID INSECTICIDE ADDITIVE
MAME   ,MILKING EQUIPMENT
MGAD   ,DUBOISIA OR CORKWOOD
MGAE2  ,EUCALYPTUS TREE PLANTING - POST PLANTING
MGAP1Y ,PINUS SPP. - YEAR 1 ESTABLISHMENT
MGAPC  ,PLANTATION - CORYMBIA MACULATA
MGAS   ,SPRAYING TO PREVENT SEEDING
MGASP  ,SPRAYTOPPING/REDUCE SEED SET/PULSE CROPS
MGASPP ,PASTURE TOPPING TO PREVENT SEED SET
MGHAO  ,GLASSHOUSE (ORNAMENTALS ONLY)
MGHAY  ,HAY FREEZING (PASTURES)
MGHR   ,STRAW OR HAY MULCH
MGHTS  ,TOP SOIL
MGMA1  ,MANURE PIT
MGWO   ,WOOL FABRIC
MHLA   ,ANIMAL HOUSES & LIVING AREAS (DOMESTIC)
MIDS   ,STANDING WATER
MIPAD  ,HIDE AND SKIN PREPARATION PEST CONTROL
MIPAE  ,"POND, STAGNANT WATER, DRAIN PEST CONTROL"
MIPAQ  ,FEEDING UTENSIL
MIPAR  ,INCUBATOR
MIPBG  ,HATCHERY
MIPDB  ,PEST CONTROL - RESIDUAL SPRAY
MIPGP  ,PEST CONTROL - GRAIN PROTECTION
MIPHS  ,HARD SURFACE PEST CONTROL
MIPIU  ,UPHOLSTERY PEST CONTROL
MIPIW  ,DOMESTIC WATER SUPPLY
MIPNF  ,ANIMAL - NON FOOD PRODUCING
MIPNU  ,NURSERY - CHILD
MIPR   ,"PEST CONT. REFUSE TIP, GARBAGE CONTAINER"
MIPRB  ,RABBIT BURROW
MIPSCC ,STRUCTURES CONTAINING COMMODITIES
MIPTF  ,FENCE - TIMBER
MIPTS  ,SHRUB OR TREE TRUNK PEST CONTROL
MIPXLF ,WELL SEALED STRUCTURE/ENCLOSURE
MIPY   ,"PEST CONTROL - YARN, WOOL, WOOL BLEND"
MIWP   ,POLLUTED WATER
MIWR   ,WALLS AND ROCKERIES
MNABB  ,STAGNANT POND WEED CONTROL
MNABC1 ,FARM DAM
MNAT   ,WEED CONTROL - TELEPHONE LINES
MNAWE  ,AQUATIC WEED CONTROL - ENCLOSED WATER
MNBO   ,BORE DRAIN WEED CONTROL
MNCR   ,WEED CONTROL - CREEK BANK
MNFMC  ,FALLOW MAINTENANCE & CONSERVATION TILLAG
MNFSHA ,AROUND ESTABLISHED SHRUBS
MNFWD1 ,FALLOW MINIMUM DISTURBANCE
MNFWR  ,"FALLOW,STUBBLE(PRIOR TO RYE)WEED CONTROL"
MNGL1  ,DRY DRAINS & CHANNELS
MNPA   ,PATH
MNPG   ,PEBBLE GARDEN
MNRO   ,ROADSIDE WEED CONTROL
MNTA   ,WEED CONTROL - TIMBER YARD
MNW    ,WOODY SPECIES WEED CONTROL
MON2   ,ORNAMENTAL PLANT
MONAC  ,LILLY PILLY
MONAO  ,PROSTANTHERA
MONB2  ,BULB
MONB3  ,CORM
MONBF  ,ANEMONE - POST PLANTING + NOT FROM SEED
MONBL1 ,NARCISSUS - POST-EMERGENT
MONBU  ,LACHENALIA (POST PLANTING)
MONBZ  ,ERIOSTEMON MYOPORIODES
MONCA  ,CALLIANDRA ROSEA
MONCD  ,HARDWOOD CUTTING
MOND0  ,CAPE JEWEL
MOND4  ,VELVET PLANT
MONDN  ,JUSTICA
MONEI  ,ROBUSTA PHOTINIA
MONFB  ,ANNUAL ORNAMENTAL
MONFM  ,DAHLIA
MONFW  ,VERBENA OR VERVAIN
MONG   ,SWEET ALYSSUM
MONGF  ,GERMANDER
MONGG  ,MESEMBRYANTHEMUM
MONGK  ,TELANTHERA
MONGM  ,GARDENIA MAGNIFICA
MONGS  ,GARDENIA JASMINOIDES
MONHS  ,HAKEA SALIGNA
MONI   ,INDOOR PLANT
MONIC  ,DWARF POINSETTIA
MONIE  ,FERN
MONJW  ,CHRYSANTHEMUM INDICUM
MONJX  ,ERICA GRACILIS
MONKN2 ,CHRYSANTHEMUM AS BARE ROOTED TRANSPLANT
MONL   ,ORNAMENTAL SUCCULENT
MONLA  ,WOODY ORNAMENTAL
MONLT1 ,TULIP - PRE-EMERGENCE
MONMD  ,MELALEUCA DECUSSATA
MONPT  ,PINUS THUNBERGIANA
MONSE  ,BOTTLEBRUSH
MONSK  ,HEATH
MONSS1 ,SHRUB - CONTAINER GROWN
MONST  ,ORNAMENTAL FRUIT TREE
MONSU  ,MAGNOLIA
MONTB  ,HYDRANGEA
MONTL  ,TREE - SEE LABEL FOR VARIETY
MONTLS ,TREE LINE - SPRAYING
MONTX  ,ALLAMANDA
MONU4  ,JAPANESE MAPLE
FRTBL  ,AKEE
FRTC   ,CUSTARD APPLE
FRTD   ,PINEAPPLE
FRTGPP ,MANGO - PRIOR TO PLANTING
FRTHA  ,"GUAVA, OVER 3 YEARS OLD"
FRTHD  ,GUAVA - POST-HARVEST DIP
FRTHD1 ,GUAVA - POST-HARVEST DIP (SEE LABEL)
FRTL   ,LYCHEE
FRTLD  ,LYCHEE - DIPPING
FRTLPD ,LYCHEE - POST-HARVET DIP
FRTLS  ,LYCHEE - PRIOR TO SOWING
FRTOP  ,CACTUS FRUIT - POST-HARVEST
FRTU   ,CASIMIROA
FRTV   ,CHEMPEDAK
FRTWE  ,KIWI FRUIT - ESTABLISHED
FRTZD  ,FEIJOA - POST-HARVEST DIP
FRVA   ,VINEYARD
FRVB   ,GRAPE - GORDO AND WALTHAM
FRVP   ,GRAPE - PERLETTE
FRVPK  ,GRAPES (PACKAGED)
FRVSD  ,SULTANA - DRIED
FRVT1  ,TABLE GRAPES - PACKED
FRVWB  ,GRAPE - MUSCAT GORDO BLANCO
FRXC2  ,OLIVE - DORMANT - OVER 3 YEARS OLD
GARP   ,PLANT ROOT
GAT    ,GARDEN TREE
GCCT   ,COTTON
GCCT1  ,COTTON - YOUNG PLANTS
GCCT15 ,COTTON - STAGE II AND III
GCCT23 ,IRRIGATED COTTON-SHIELDED SPRAYER APP.
GCCT5  ,COTTON - POST-EMERGENT
GCCT6  ,COTTON (PRIOR TO SOWING)
GCCT9  ,COTTON - IRRIGATION BANK
GCCTG  ,COTTON - INCLUDING GM VARIETIES 
GCFL   ,FLORICULTURE CROPS
GCFPL  ,FIELD PEAS - REFER TO LABEL
GCGPB1 ,CEREAL GRAIN- POST HARVEST
GCHA   ,HARVEST AID & WEED CONTROL IN CROP
GCOR   ,ORNAMENTAL CROPS
GCRRF  ,ROUNDUP READY FLEX COTTON
GCVC   ,VINEYARD - COVER CROPS - CEREALS
GLF1   ,FORESTRY TREES
GPBH   ,BALED HAY
GPDD   ,PASTURE - DIRECT DRILLING
GPM    ,MEDIC PASTURE (SEEDLINGS-SEE LABEL)
GPPRE1 ,PERENNIAL PASTURES - ESTABLISHED
GSFG   ,FENUGREEK SEED CROP
HEP    ,PARSLEY
HHC1   ,CULINARY HERBS - SEE LABEL
HOF1   ,CUT FLOWER - POST HARVEST TREATMENT
MAWIB  ,IN-GROUND BAIT STATION
MFLU   ,UNDER FLOOR BOARDS
MFS    ,MUSHROOM FARM SURFACES
MGAF1  ,FOREST TREE
MGAPEG ,EUCALYPTUS GLOBULUS - PRIOR TO PLANTING
MGAPS  ,PINE PLANTATION -  PRE-PLANTING
MGAPT1 ,PINUS SPP - TRANSPLANT - SEE LABEL
MGHA   ,GLASSHOUSE OR GREENHOUSE
MGHB   ,GARDEN BED OR ROCKERY
MGHNP  ,NURSERY CROP - PRIOR TO PLANTING
MGHP1  ,POTTING SOIL - FLORICULTURE & ORNAMENTAL
MGHPF  ,NURSERY STOCK IN POTS OR FIELD
MGNU   ,NURSERY
MGOS   ,OUTDOOR AND SUBFLOOR USE
MGS    ,SEED
MGSPC  ,SPOT SPRAYING CROP OR PASTURE
MGWN   ,NATIVE WOODLAND
