hostcode,hostdesc
APKG   ,PIG -(30-60 KG LIVEWEIGHT)
APKG4  ,PIG - HEAVIER THAN 30 KG LIVEWEIGHT
APKG6  ,PIG - LESS THAN 40 KG LIVE WEIGHT
APP1   ,PIGLET (15-30 KG)
APSP   ,PIG SOW PREGNANT
ARO    ,"RODENT - ORNAMENTAL (CAGED, NOT CAGED)"
ASL6   ,LAMB OVER 6 WEEKS OF AGE
AW     ,WILDLIFE / NATIVE ANIMALS
BROAP  ,BROADCAST APPLICATION
EC     ,EDIBLE CROPS
FCCLS  ,CLOVER SEED
FCFB   ,FORAGE BRASSICAE
FCFSE  ,SERRADELLA - ESTABLISHED
FCFSOI ,IRRIGATED FORAGE SORGHUM
FCGAE1 ,BARLEY - ALL VARIETIES EXCEPT MORRELL
FCGAMA ,BARLEY - MALEBO VARIETY
FCGCE  ,CEREALS
FCGD0  ,OATS - UNDERSOWN WITH LINSEED
FCGD1  ,OATS - SEE LABEL
FCGDB  ,"OATS - UNDERSOWN WITH CLOVER, LUCERNE"
FCGDS  ,OATS - SEED
FCGE2  ,RICE - DRILL SOWN
FCGESE ,RICE SEED
FCGF3  ,"RYE - UNDERSOWN (LUCERNE, CLOVER, MEDIC)"
FCGFS  ,CEREAL RYE - SEEDLING
FCGH12 ,CLEARFIELD PLUS WHEAT
FCGH7  ,WHEAT - POST & WEED EMERGENCE
FCGHI  ,IRRIGATED WHEAT
FCGHT1 ,WHEAT -NO-TILL/MIN TILL CROPPING SYSTEMS
FCGHU  ,"WHEAT - UNDERSOWN (LUCERNE,CLOVER,MEDIC)"
FCGI7  ,LUPIN - WEEDS PRESENT AT SOWING
FCGI9  ,LUPIN - FALLOW & SEEDBED
FCGIM1 ,LUPIN - MERRIT VARIETY
FCGJ0  ,TRITICALE - UNDERSOWN WITH LINSEED
FCGJLS ,TRITICALE SEEDLING
FCGJPE ,TRITICALE - PRE-EMERGENCE
FCGJT  ,TRITICALE - TYALLA
FCGP   ,CEREAL CROP - PRIOR TO SOWING
FCGPE  ,TRITICALE - POST-EMERGENCE
FCGSN  ,MAIZE - HARVEST AID SPRAY SALVAGE
FCGW3  ,WINTER CEREAL - POST EMERGENCE
FCGWC  ,WINTER CEREAL-POST-HARVEST
FCGWSL ,WINTER CEREAL - SEE LABEL FOR INCLUSIONS
FCLC   ,LEGUME CROP
FCME2  ,LUCERNE - ESTABLISHED (OVER 18 MONTHS)
FCMEHC ,LUCERNE HAY CROP
FCMES  ,LUCERNE - SEED
FCOAP  ,LINSEED (PRIOR TO SOWING)
FCOC   ,SAFFLOWER OILSEED
FCOC3  ,SAFFLOWER - REFER TO LABEL
FCOC4  ,SAFFLOWER - FALLOW & SEEDBED
FCOD   ,SUNFLOWER OILSEED
FCOE7  ,CANOLA - FALLOW & SEEDBED
FCOES  ,CANOLA SEED
FCOET1 ,CANOLA(TT VARIETIES ONLY) - PRE EMERGENT
FCOKC  ,CRUCIFER SEED CROP
FCOLL  ,LINSEED - REFER TO LABEL
FCOSG  ,OILSEED SEEDLING
FCOY   ,OILSEED - YOUNG PLANTS
FCPA   ,FIELD PEA - ALMA
FCPCW1 ,COW PEA - PRE-PLANT
FCPIN  ,PINTO'S PEANUT FORAGE CROP
FCPOD  ,DRYLAND SACCALINE
FCSE   ,SUGAR CANE - POST-HARVEST
FCSIL  ,SILAGE
FCSO   ,SORGHUM CONTROL
FCSRC  ,RATOON CANE - AFTER HARVEST
FCSSA  ,SHRUBBY STYLO FORAGE CROP-PRIOR TO SOWIN
FCST   ,COMMON STYLO
FCTP   ,TOBACCO - PRE-PLANTING SOIL TREATMENT
FCTR   ,TOBACCO - PRIOR TO SOWING
FD     ,DOG - FARM DOG
FEAT   ,FEATHERS AND DOWN
FRBB4  ,BLACKCURRANT OVER 4 YEARS OLD
FRBBA  ,BRAEBURN - APPLE
FRBC   ,BLUEBERRY
FRBE   ,CURRANT
FRBI1  ,STRAWBERRY (SEE LABEL)
FRBIA  ,STRAWBERRY - ESTABLISHED
FRBIB  ,STRAWBERRY BED
FRBIN  ,STRAWBERRY - NON-FRUITING
FRMH   ,HORNED MELON
FRMW   ,WATERMELON
FRPAA  ,APPLE OVER 3 YEARS OLD
FRPAC  ,GOLDEN DELICIOUS APPLE
FRPAD  ,RED DELICIOUS APPLE
FRPAFA ,FUJI APPLE
FRPAS  ,GRANNY SMITH APPLE
FRPD   ,PEAR
FRPD2Y ,PEAR - OVER 2 YEARS OLD
FRPD3  ,TRIUMPH PEAR
FRPDT1 ,APPLE - DORMANT TREATMENT
FRPPS  ,PEAR - SPRING AND SUMMER TREATMENT
FRS    ,STONE FRUIT
FRSBN  ,CHERRY - NAPOLEON
FRSBO  ,CHERRY - POST-HARVEST DIP
FRSCH  ,CHERRIES - (DIP)
FRSDA  ,PEACH - SEE LABEL FOR VARIETY
FRSDB  ,CANNING VARIETY OF PEACH
FRSDC  ,PEACH OVER 8 YEARS OLD
FRSDG  ,PEACH 5 YEARS OR OLDER
**108C ,FOLIAR MICRO-NUTRIENTS
1G     ,ADJUVANT
1O     ,OTHER TREATMENT ADDITIVE - SEE LABEL
1V     ,VETERINARY CHEMICAL ADDITIVE
A3     ,SMALL ANIMALS
A6     ,LARGE ANIMALS
AAREA  ,ANIMAL AREAS - IN & AROUND
ABBC   ,BROILER CHICKENS
ABDB   ,BUDGERIGAR
ABDD   ,DOVE
ABPL   ,POULTRY LAYERS (EGGS FOR HUMAN CONSUMP)
ABPN   ,POULTRY NON LAYING
ABPPB7 ,PULLET -UNTIL 7 DAYS PRIOR TO EGG LAYING
ABPPG  ,PULLET - GROWING
ABPPLR ,PULLET-LAYING REPLACEMENT
ACCOL  ,CATTLE LACTATING
ACDDC  ,DAIRY CATTLE - NON-LACTATING (DRY) PERIO
ACE    ,CATTLE - BEEF
ACFE   ,CATTLE FOR EXPORT
ACS1   ,STEER (NOT YOUNGER THAN SIX WEEKS)
AD     ,DOG
AD5KG  ,DOG - UP TO 5 KG
AD7    ,DOG - UP TO 35KG
ADD1   ,DOG - OLDER THAN 12 MONTHS
ADFB   ,DOG - BITCH - OVARIOHYSTERECTOMISED
ADK16  ,DOG - 4.1-10 KG
ADK3   ,DOG - 40-60 KG
ADS    ,DOG - SMALL OR TOY
ADVS   ,DOG - VERY SMALL
ADX    ,DOG - WITH EXCLUSIONS SEE LABEL
AF2    ,CAT OVER 2 WEEKS OLD
AF4K   ,CAT - OVER 4 KG
AFK3   ,KITTEN - OVER 3 MONTHS OLD
AGB    ,GOAT BUCK (MALE)
AHA    ,HORSE - ADULT
AHG1   ,HORSE - GELDING UNDER STRESS
AHM    ,HORSE MARE (FEMALE)
AI     ,FISH - COMMERCIAL
AIFE   ,FISH EGG
AIFT   ,TILAPIA FISH
AIGF   ,GOLDFISH
ALHA   ,ANIMAL - HEALTHY
ALSL   ,LAMB WITH MARKING WOUND
AP     ,PIGS
APG    ,PIG GROWER
APGI   ,PIG GILT (YOUNG BREEDING FEMALE)
APKG5  ,PIG - LESS THAN 20 KG LIVEWEIGHT
AS3    ,SHEEP - UP TO 7 DAYS OFF-SHEARS
ASW    ,SHEEP - WEANER
AXFA   ,EXCLUDING FOOD ANIMALS
AZ     ,ZOO ANIMALS
COOL   ,COOLANT TANK
EFW    ,FOOTWEAR
FC2PS  ,GRAIN CROP (PRIOR TO SOWING)
FCAAS  ,SEEDLING ANNUAL
FCCAF  ,WYNN CASSIA FORAGE CROP
FCCOS  ,COCKSFOOT SEED
FCGA0  ,BARLEY - UNDERSOWN WITH LINSEED
FCGA11 ,BARLEY - IMIDAZOLINONE TOLERANT VARIETIE
FCGAA  ,BARLEY - UNDERSOWN WITH CLOVER
FCGAP  ,BARLEY - PRIOR TO SOWING
FCGAQ  ,BARLEY - UNDERSOWN WITH LOTUS SEED OR FO
FCGBPE ,MAIZE-POST-EMERGENT
FCGDT  ,OATS - 3 LEAF TO EARLY TILLERING STAGE
FCGE8  ,RICE - FALLOW & SEEDBED
FCGEAA ,RICE - AERIAL SOWN
FCGEAS2,RICE - AERIAL SOWN INTO FLOODED BAY LANG
FCGEAS4,FLOODED RICE CROPS
FCGFU  ,"CEREAL RYE U'SOWN (LUCERNE,CLOVER,MEDIC)"
FCGH10 ,WHEAT - PRE-PLANT
FCGH2  ,WHEAT - SEE LABEL FOR EXCEPTIONS
FCGH6  ,WHEAT - BLADE ONLY
FCGHC  ,WHEAT U'SOWN WITH SUB CLOVER
FCGI10 ,LUPIN - PRE HARVEST
FCGI8  ,LUPIN - ON LIGHT SOIL ONLY
FCGJ   ,TRITICALE
FCGJ1  ,TRITICALE-3 LEAF TO EARLY TILLERING STAG
FCGJB  ,TRITICALE - UNDERSOWN CLOVER OR LUCERNE
FCGL4  ,SORGHUM - FALLOW & SEEDBEDS
FCGMI  ,MILLET
FCGUC  ,UNDERSOWN CEREAL CROP
FCLCSE ,LEGUME SEED CROP - ESTABLISHMENT
FCLE   ,LEGUME CROP (PRIOR TO SOWING)
FCMEH  ,LUCERNE HAY
FCMEL  ,LUCERNE - HAY OR SEED PRODUCTION
FCMEPE ,LUCERNE - POST-EMERGENT
FCMESD ,SEED LUCERNE
FCOA2  ,LINSEED OIL CROP - FALLOW & SEEDBED
FCOC2  ,SAFFLOWER - PRE-PLANT
FCOCPEM,SAFFLOWER - POST EMERGENCE
FCOD3  ,SUNFLOWER - REFER TO LABEL
FCODT  ,SUNFLOWER SEED - EXPORT ONLY
FCOE3  ,CANOLA(TT VARIETIES ONLY) - PRE EMERGENT
FCOE5  ,CANOLA - INVIGOR HYBRID VARIETIES
FCOE6  ,INVIGOR HYBRID CANOLA VARIETIES - SEED P
FCOEC1 ,CANOLA - SEE LABEL
FCOECF ,CANOLA  - CLEARFIELD
FCOET  ,"CANOLA - TT ONLY - POST SOWING, PRE EMER"
FCOKP  ,CRUCIFER - PRIOR TO SOWING
