hlevel1
SANITISER
SPASMOLYTIC
STIMULANT
STOCK PESTICIDE
SUNBURN
SUPPLEMENT GENERAL
SURFACTANT
TEAT & UDDER PREPARATIONS
TRANQUILISER
UNKNOW - WAITING TO CATEG
URINARY ACIDIFIER
URINARY ALKALISER
V11C + V13E  * VET
V13A + V13E * VET
V13A + V13G + V15C * VET
V13A + V15C * VET
V13E + V13G + V15A * VET
V13E + V17C * VET
V13E + V18B * VET
V13G + V15A * VET
V15A & V15C
V15B + V15C
V15C + V15F VET SMALL ANI
V15E + V17A
V18B + V18D IMMUNOTHERAPY
V18D + V18E IMMUNOTHERAPY
V1A + V2B * VET
V1C + V13A * VET
V1C + V3E * VET
V2A + V2B * VET
V3A + V13A * VET
V3C + V13A * VET
V3C + V3E * VET
V3D + V15C * VET
V3E + V11C + V17A * VET
V3E + V13A * VET
V3E + V14 * VET
V3E + V20 * VET
VACCINE & ANTISERA
VASODILATOR
VERTEBRATE POISON
VIRUS
VITAMIN & MINERAL SUPP
VITAMIN SUPPLEMENT
WART TREATMENT
WEIGHT CONTROL
WETTING AGENT
WOOD PRESERVATIVE
