"pcode","regno","regdate"
"57975","0706","10/08/2006 12:00:00 AM"
"57975","0903","25/09/2003 12:00:00 AM"
"57975","1106","11/12/2006 12:00:00 AM"
"58490","0804","27/09/2004 12:00:00 AM"
"58677","0504","26/10/2004 12:00:00 AM"
"58677","101136","9/01/2015 12:00:00 AM"
"56601","0706","19/10/2006 12:00:00 AM"
"56601","1002","25/10/2002 12:00:00 AM"
"58791","0807","27/11/2007 12:00:00 AM"
"58791","57563","18/03/2013 12:00:00 AM"
"58808","0105","11/02/2005 12:00:00 AM"
"58825","0205","3/03/2005 12:00:00 AM"
"58825","0906","23/11/2006 12:00:00 AM"
"58908","0804","15/11/2004 12:00:00 AM"
"58991","0205","19/04/2005 12:00:00 AM"
"58991","1206","31/01/2007 12:00:00 AM"
"58991","46225","18/08/2010 12:00:00 AM"
"58995","0505","24/05/2005 12:00:00 AM"
"58995","0608","25/09/2008 12:00:00 AM"
"58995","0704","16/07/2004 12:00:00 AM"
"58995","0804","19/10/2004 12:00:00 AM"
"58499","0210","27/01/2010 12:00:00 AM"
"58499","1204","23/12/2004 12:00:00 AM"
"58600","0205","1/04/2005 12:00:00 AM"
"58600","0306","12/07/2006 12:00:00 AM"
"58668","0504","3/11/2004 12:00:00 AM"
"58668","0609","24/09/2009 12:00:00 AM"
"58668","53185","15/08/2011 12:00:00 AM"
"58699","0904","24/11/2004 12:00:00 AM"
"58717","0906","29/11/2006 12:00:00 AM"
"58768","0804","14/12/2004 12:00:00 AM"
"58768","49813","20/01/2011 12:00:00 AM"
"58785","1104","26/04/2005 12:00:00 AM"
"57280","0503","2/06/2003 12:00:00 AM"
"58534","0404","20/08/2004 12:00:00 AM"
"58551","0105","29/03/2005 12:00:00 AM"
"58551","0304","5/07/2004 12:00:00 AM"
"58551","0905","22/12/2005 12:00:00 AM"
"58634","0504","9/06/2004 12:00:00 AM"
"58702","0105","10/03/2005 12:00:00 AM"
"58702","0710","23/09/2010 12:00:00 AM"
"58702","1108","27/01/2009 12:00:00 AM"
"58702","55150","4/12/2012 12:00:00 AM"
"50207","0798","15/07/1998 12:00:00 AM"
"50207","0999","10/09/1999 12:00:00 AM"
"50207","48612","20/09/2012 12:00:00 AM"
"49214","01","29/10/1996 12:00:00 AM"
"49237","0499","8/04/1999 12:00:00 AM"
"49237","0898","5/08/1998 12:00:00 AM"
"50350","0200","23/02/2000 12:00:00 AM"
"50350","1004","2/02/2005 12:00:00 AM"
"50350","1209","2/02/2010 12:00:00 AM"
"50350","58469","25/02/2013 12:00:00 AM"
"50507","0402","17/04/2002 12:00:00 AM"
"50507","1199","19/11/1999 12:00:00 AM"
"50507","51313","6/04/2011 12:00:00 AM"
"50304","0408","30/11/2009 12:00:00 AM"
"50304","0599","6/05/1999 12:00:00 AM"
"50304","0999","29/09/1999 12:00:00 AM"
"50304","1297","18/12/1997 12:00:00 AM"
"47647","4948","8/09/1995 12:00:00 AM"
"48215","01","2/02/1996 12:00:00 AM"
"48747","01","17/10/1996 12:00:00 AM"
"48747","0806","9/10/2006 12:00:00 AM"
"48747","1202","11/12/2002 12:00:00 AM"
"50430","1197","7/11/1997 12:00:00 AM"
"50559","57810","14/11/2013 12:00:00 AM"
"46781","01","19/08/1996 12:00:00 AM"
"46781","0102","22/01/2002 12:00:00 AM"
"46781","0300","17/04/2000 12:00:00 AM"
"46781","0898","18/08/1998 12:00:00 AM"
"46781","59441","6/06/2013 12:00:00 AM"
"47358","3688","3/07/1995 12:00:00 AM"
"42427","0600","25/07/2000 12:00:00 AM"
"42470","02","24/03/1997 12:00:00 AM"
"42470","02/","2/07/1997 12:00:00 AM"
"42470","1101","2/01/2002 12:00:00 AM"
"42470","1206","19/04/2007 12:00:00 AM"
"31495","02","4/08/1995 12:00:00 AM"
"31506","0802","21/08/2002 12:00:00 AM"
"31506","1000","23/10/2000 12:00:00 AM"
"31506","50783","23/09/2010 12:00:00 AM"
"36250","01","4/12/1996 12:00:00 AM"
"36250","0904","19/11/2004 12:00:00 AM"
"36286","01","2/06/1994 12:00:00 AM"
"36286","1","20/10/1994 12:00:00 AM"
"36286","57182","8/08/2012 12:00:00 AM"
"36293","01","4/07/1996 12:00:00 AM"
"36293","51264","15/11/2010 12:00:00 AM"
"36293","53222","17/05/2011 12:00:00 AM"
"37990","0701","3/08/2001 12:00:00 AM"
"38115","01","25/08/1995 12:00:00 AM"
"38115","0402","17/04/2002 12:00:00 AM"
"38115","103863","5/09/2016 12:00:00 AM"
"38133","0400","15/05/2000 12:00:00 AM"
"40005","0600","27/07/2000 12:00:00 AM"
"40005","1100","7/11/2000 12:00:00 AM"
"40030","01","28/07/1997 12:00:00 AM"
"40030","0704","27/04/2005 12:00:00 AM"
"40030","1007","17/10/2007 12:00:00 AM"
"45610","01","24/04/1997 12:00:00 AM"
"45635","01","30/10/1996 12:00:00 AM"
"45635","0498","28/04/1998 12:00:00 AM"
"45635","0809","19/05/2010 12:00:00 AM"
"45635","54062","30/01/2012 12:00:00 AM"
"45653","01","30/05/1996 12:00:00 AM"
"45653","0704","15/10/2004 12:00:00 AM"
"45653","1006","30/05/2007 12:00:00 AM"
"31220","0903","29/09/2003 12:00:00 AM"
"31220","107519","15/09/2016 12:00:00 AM"
"33210","01","3/01/1996 12:00:00 AM"
"33210","0103","22/01/2003 12:00:00 AM"
"33210","02","11/11/1996 12:00:00 AM"
"33210","0200","14/03/2000 12:00:00 AM"
"33210","0501","11/05/2001 12:00:00 AM"
"33210","0900","4/09/2000 12:00:00 AM"
"33210","101634","17/04/2015 12:00:00 AM"
"38233","0102","29/01/2002 12:00:00 AM"
"38233","1109","29/03/2010 12:00:00 AM"
"38233","61848","21/05/2014 12:00:00 AM"
"38422","0999","28/09/1999 12:00:00 AM"
"38422","1104","11/03/2005 12:00:00 AM"
"38422","49125","7/12/2010 12:00:00 AM"
"38476","01","10/02/1997 12:00:00 AM"
"38476","0600","7/08/2000 12:00:00 AM"
"38476","0802","13/09/2002 12:00:00 AM"
"40237","0401","15/05/2001 12:00:00 AM"
"40237","62256","13/10/2014 12:00:00 AM"
"50771","0100","20/01/2000 12:00:00 AM"
"50771","0199","28/01/1999 12:00:00 AM"
"50771","0502","22/05/2002 12:00:00 AM"
"50771","0998","29/09/1998 12:00:00 AM"
"50771","1000","5/10/2000 12:00:00 AM"
"50771","1199","18/11/1999 12:00:00 AM"
"50771","1200","7/12/2000 12:00:00 AM"
"50788","0898","15/11/2016 1:27:36 PM"
"50788","0903","15/11/2016 1:27:58 PM"
"47948","60352","29/10/2013 12:00:00 AM"
"49276","0703","25/07/2003 12:00:00 AM"
"50379","0206","10/05/2006 12:00:00 AM"
"50379","0598","7/05/1998 12:00:00 AM"
"50379","1197","17/11/1997 12:00:00 AM"
"45721","01","6/06/1996 12:00:00 AM"
"30484","02","23/10/1996 12:00:00 AM"
"30484","0300","11/04/2000 12:00:00 AM"
"30484","0403","1/05/2003 12:00:00 AM"
"30484","0698","16/06/1998 12:00:00 AM"
"30484","58585","25/02/2013 12:00:00 AM"
"37415","0101","29/01/2001 12:00:00 AM"
"37415","0303","10/03/2003 12:00:00 AM"
"37415","0405","5/10/2005 12:00:00 AM"
"37429","0101","24/01/2001 12:00:00 AM"
"37429","0103","23/01/2003 12:00:00 AM"
"41130","0802","26/08/2002 12:00:00 AM"
"41130","0805","18/10/2005 12:00:00 AM"
"51054","0798","29/07/1998 12:00:00 AM"
"51071","0499","13/05/1999 12:00:00 AM"
"51071","1102","6/11/2002 12:00:00 AM"
"51103","0602","24/06/2002 12:00:00 AM"
"51103","0798","27/07/1998 12:00:00 AM"
"51103","0805","6/10/2005 12:00:00 AM"
"51103","50986","9/09/2010 12:00:00 AM"
"51105","0299","23/02/1999 12:00:00 AM"
"50548","/1199","3/05/2000 12:00:00 AM"
"50548","0600","6/07/2000 12:00:00 AM"
"50548","0601","13/06/2001 12:00:00 AM"
"50548","0602","4/07/2002 12:00:00 AM"
"50548","0698","3/07/1998 12:00:00 AM"
"50548","0699","10/06/1999 12:00:00 AM"
"50548","0701","26/07/2001 12:00:00 AM"
"50548","0799","5/08/1999 12:00:00 AM"
"50548","0800","12/09/2000 12:00:00 AM"
"50548","0900","18/09/2000 12:00:00 AM"
"50548","0909","22/12/2009 12:00:00 AM"
"50548","1001","17/10/2001 12:00:00 AM"
"50548","1004","11/02/2005 12:00:00 AM"
"50548","1199","30/11/1999 12:00:00 AM"
"50548","1205","27/02/2006 12:00:00 AM"
"50548","50935","24/01/2011 12:00:00 AM"
"50548","61850","27/02/2014 12:00:00 AM"
"50748","0498","8/04/1998 12:00:00 AM"
"50748","0499","23/04/1999 12:00:00 AM"
