id	command	search_clause	search_clause_cont	not_clause	replace_clause	case_sensitive	must_update	Latin_name	common_name	local_name	alt_names	note_clause	crops	doit	comments	exp_cnt	chk	dummy
161	sp_update	black spots			Black spot	0												
162	sp_update	Black strife			Black stripe	0												
163	sp_update	Blackspot			Black spot	0												
164	sp_update	Blanket application against broadleaves			Broadleaf Weed	0												
165	sp_update	Blanket application on broadleaves			Broadleaf Weed	0										Blanket application 		
166	sp_update	blast		Rice blast	Rice blast	0												
167	sp_update	blight Anthracnose			"Blight,Anthracnose"	0												
168	sp_update	bligth			blight	0												
169	sp_update	block rot			Black rot	0												
170	sp_update	Blossom thrips			Blosson thrips	0												
171	sp_update	Blosson Thrips			Blosson thrips	0												
172	sp_update	Blue mold fusarium			"Blue mold,Fusarium"	0												
173	sp_update	boll weevil			Boll weevil	0												
174	sp_update	Bollworms			Bollworm	0												
175	sp_update	Borers			Borer	0												
176	sp_update	Botrytis Leaf blight			Botrytis leaf blight	0												
177	sp_update	botrytis Leaf blight			Botrytis leaf blight	0												
178	sp_update	botrytis Leaf spot			Botrytis leaf blight	0												
179	sp_update	Botrytis rot. Grey molds			Grey mold	0		Botrytis cinerea										
180	sp_update	botrytis rot			Grey mold	0		Botrytis cinerea				https://ipm.ucanr.edu/agriculture/artichoke/gray-mold-botrytis-fruit-rot/						
181	sp_update	BPH			Brown planthopper	0												
182	sp_update	{ broadleaves }			{Broadleaf Weed}	0												
183	sp_update	broad leaves			{Broadleaf Weed}	0												
184	sp_update	Broadleaf of weeds			{Broadleaf Weed}	0												
185	sp_update	broadleaf weed		broadleaf weeds 	{Broadleaf Weed}	0												
186	sp_update	Broadleaf Weeds			{Broadleaf Weed}	0												
187	sp_update	broadleaf weeds			{Broadleaf Weed}	0												
188	sp_update	Broadleaf Weeds			{Broadleaf Weed}	0												
189	sp_update	Broad-leaf Weeds			{Broadleaf Weed}	0												
190	sp_update	broadleaf weedss			{Broadleaf Weed}	0												
191	sp_update	Broad-leaved weeds			{Broadleaf Weed}	0												
192	sp_update	broadleaves			{Broadleaf Weed}	0												
193	sp_update	Brodaleaf weeds			{Broadleaf Weed}	0												
194	sp_update	brodleaf weeds			{Broadleaf Weed}	0												
195	sp_update	brodleaves			{Broadleaf Weed}	0												
196	sp_update	Broadleaf weeds weeds			{Broadleaf Weed}	0												
197	sp_update	brown bark rot			Brown bark rot	0												
198	sp_update	brown leaf spot			Brown leaf spot	0												
199	sp_update	Brown Leaf spot			Brown leaf spot	0												
200	sp_update	hoppers			hopper	0	0											
201	sp_update	Brown Leafhopper			Brown leafhopper	1												
202	sp_update	brown Leafspot (drone application)			Brown leaf spot	0												
203	sp_update	Brown planthopper (Nilaparvata Lugens)			Brown planthopper	0												
204	sp_update	Brown planthoppers			Brown planthopper		1											
205	sp_update	browm Planthopper			Brown planthopper	0												
206	sp_update	Brown plant hopper			Brown planthopper	1												
207	sp_update	Brown Planthopper			Brown planthopper	1												
208	sp_update	brown Planthopper			Brown planthopper	1												
209	sp_update	Brown spots			Brown spot	0												
210	sp_update	budworm 			Budworm	0												
211	sp_update	BudwormAphid			"Budworm,Aphids"	0												
212	sp_update	Budworms			Budworm	0												
213	sp_update	bugs			Bugs	0												
214	sp_update	bulb rot			Bulb rot	0												
215	sp_update	Burrowing Nematodes			Burrowing nematode	0												
216	sp_update	Burrowing nematodes			Burrowing nematode	0												
217	sp_update	Burrowing Nematode			Burrowing nematode	0												
218	sp_update	Burrowing of nematode (Radopholus Similis)			Nematode	0		Radopholus Similis										
219	sp_update	Bush Snails			Bush snail	0												
220	sp_update	Bush Snail			Bush snail	0												
221	sp_update	"Bush,Snails"			Bush snail	0												
222	sp_update	Bush snails			Bush snail	0												
223	sp_update	butt mold		Butt molds	Butt mold	0												
224	sp_update	butt molds			Butt mold	0												
225	sp_update	"Butt,Crown mold"			"Butt mold,Crown mold"	0												
226	sp_update	"Butt,Crown rot"			"Butt rot,Crown rot"	0												
